b715d72	2025-09-24	Initial commit (reset history)
b0a31d8	2025-09-24	プロジェクトのフォルダ構成を作成
d1f5760	2025-09-24	ER図をMermaid形式に変更
51c3212	2025-09-24	ER図.mdを更新
2dca86f	2025-09-24	ER図.mdを更新
f6fda5c	2025-09-24	ER図.mdを更新
45d4c02	2025-09-24	Dockerfileの環境設定
2334e3c	2025-09-24	python環境の構築
1942e8e	2025-09-24	Vueの導入
8c1c0bf	2025-09-24	仮でフロントエンドとバックエンドを動作
76b1706	2025-09-24	READMEを修正
16788ed	2025-09-25	README.mdを更新
8b0851c	2025-09-25	README.mdを更新
7018f12	2025-09-25	Create UI構想.md
683503c	2025-09-25	UI構想.mdを更新
40b8c5b	2025-09-25	UI構想.mdを更新
bd66e30	2025-09-25	該当フォルダを無視するように修正
80abd71	2025-09-25	該当ファイルを無視するよう修正
1893c87	2025-09-25	.envが表に出ていたため削除
88fef0b	2025-09-25	.gitignoreの更新
77a01a8	2025-09-25	.gitignoreを修正
a70c9fd	2025-09-25	*.pyc削除
3cfd2c7	2025-09-25	.gitignore修正
3d26603	2025-09-25	DECKのCURDAPIを実装
faa9a8a	2025-09-26	USERのPOSTのAPIを作成
7d4dfb7	2025-09-27	USERのCRUDAPIを作成
28a9998	2025-09-27	DeckのCREATE機能を追加
3c42806	2025-09-28	Deck認証付き取得成功
2440039	2025-09-28	UserとDecksのCRUDのAPIが完全感性
2cc1b7b	2025-09-29	.env.exampleを更新
988d2c1	2025-09-29	Deckに対戦相手の判定を追加
83ad180	2025-09-29	DECKのCRUD APIを実装
4dfb8a3	2025-09-29	DUELのCRUDのAPIを実装
edcc4d2	2025-09-29	Merge branch 'main' of https://github.com/krtw00/デュエル-log-app
e4a549a	2025-09-30	フロントエンド動作
d097d04	2025-09-30	docker-composeを安定して動くように修正
63dccd5	2025-09-30	Rename .dockerignore to .dockerignore
9d89d26	2025-10-01	JWTでセキュアなログイン機能を構築
05fbe85	2025-10-01	リファクタリングの実施
0f88f18	2025-10-01	リファクタリングの実施
d23bc31	2025-10-01	リファクタリングの実施更新漏れ
daa4dd9	2025-10-01	基本的なUIの機能を実装（ログイン、戦績管理、デッキ登録）
287412e	2025-10-01	細かいレイアウトの調整
0a56a79	2025-10-02	ヘルスチェックを正常に動くように修正
ee7910c	2025-10-02	READMEの更新
9ccb19b	2025-10-02	プロジェクトの全体像のドキュメントを作成
3aa4ea8	2025-10-02	レート、イベント、DC機能を追加
f7110c3	2025-10-02	統計機能を実装
8da90c3	2025-10-02	クッキーの導入
ed9b906	2025-10-02	プロフィール機能を追加
62158ef	2025-10-02	GitHubActionの確認
